date,text,mp,debate,time
2017-03-06 00:00:00,"It is very disappointing that the Minister is not prepared to accept that, as a result of local government cuts, services are being reduced and refuges are closing. As for the question of resources, Her Majesty’s inspectorate of constabulary recently flagged up failings on the part of the police when they were dealing with the most vulnerable victims. In at least two forces, domestic abuse risk assessments were being conducted over the telephone. This is a consequence of trying to deal with increasing levels of demand with few resources, and if the Government are serious about combating domestic violence, they must make those resources available.",Diane Abbott,Controlling and Coercive Behaviour,
2017-03-06 00:00:00,"Is the Secretary of State aware that British public opinion increasingly thinks that the Government are being callous in continuing to seek to use EU nationals as bargaining chips? Is she also aware that, given the cloud of uncertainty hanging over EU nationals and their families, employers in sectors that rely on their labour—notably financial services, health and education—want that uncertainty to be removed?",Diane Abbott,Leaving the EU: Residency Rights,
2017-02-23 00:00:00,I have to make progress.,Diane Abbott,Unaccompanied Children  (Greece and Italy),
2017-02-23 00:00:00,"I can only listen to the LGA, which said that the money covers only 50% of funding costs. The Minister must have that debate with local government. It is all too easy to say that closing off routes, whether the Dubs scheme or Dublin, for refugee children in Europe is acting in their best interests—that somehow they will go back, and that the fact that we are doing good work in the region offsets the fact that children are being left in squalor at the mercy of people traffickers on the continent of Europe. It is all too easy, but it is not right. The hallmark of a civilised country is the fairness, the justice and the humanity with which it treats the most vulnerable. Who could be more vulnerable than refugee children? I join many Members on both sides of the House who plead with the Government, even at this late stage, to fulfil the hopes and expectations of Members in this House and the other place when they voted for the   Dubs amendment. We plead with the Government to fulfil not only their legal but their moral obligations, and to act to save the tens of thousands of refugee children still on the continent of Europe from the squalor, the people traffickers and the exploitation, and, perhaps above all, to save this country’s good name and reputation.",Diane Abbott,Unaccompanied Children  (Greece and Italy),
2017-01-31 00:00:00,"I am grateful to the Minister for setting out the thinking behind this order. The background to this order is widespread public concern about health tourism. I do not think there is anyone in this House who thinks that people who are not entitled to free healthcare should obtain it. Some hospitals need to be more robust about collecting the money that they are due, but we are not in favour in this House of having a scary narrative about health tourism. The Royal College of General Practitioners says that a person is more likely to have an immigrant offering them medical treatment than to be behind an immigrant in the queue to obtain medical treatment. We stand on the principle that people who are not entitled to legal healthcare should not obtain it, but we deprecate some of the coverage of the issue in the tabloid press. It is important to extend healthcare even when there may be a lack of clarity about payment where there are public health issues for the wider population. Health stakeholders have said that we must always be aware of the wider public health concerns. Opposition Members support the order in principle. We note that it has raised £164 million. We feel that the order makes important clarifications; the Minister spoke about clarity in relation to intra-company transfers. It is important that it is made clear what happens when payment is not made and when applications are not successful. We are pleased to note that if a person applies for further leave to remain or a visa, there will be no health charge. We also welcome the most important amendment that the statutory instrument makes: it makes it clear that there is an exemption for survivors of human trafficking and slavery. That is a very important   clarification, and it reinforces this country’s good record on these issues. We also welcome the clarity on transition arrangements. In closing, I ask what provisions we have planned for EU nationals after Brexit. Will they be subject to this health charge, or will there be another arrangement, based on mutual recognition between us and countries such as France and Spain? Even as we speak, this is a matter of concern to EU nationals living in this country, and to British nationals living in the EU. I would welcome anything the Minister had to say on that. Given those provisos, we are content to support this order.",Diane Abbott,Draft Immigration (Health Charge) (Amendment) Order 2017,2017-05-01 14:37:00
2017-03-06 00:00:00,indicated  assent .,Diane Abbott,Immigration: Indefinite Detention,
2017-03-06 00:00:00,"The Opposition welcome the introduction of this legislation—it was, after all, Labour party policy—but when are the Government going to put their money where their mouth is on domestic violence? We know that local authority spending cuts have severely impacted on specialist domestic abuse services, which has meant cuts and closures. Women and children are being turned away daily at the point of need. Data from the Women’s   Aid annual survey showed that on just one day in 2015, 92 women and 75 children were turned away from a refuge. When are the Government going to address the financial pressures on women’s refuges?",Diane Abbott,Controlling and Coercive Behaviour,
2017-01-31 00:00:00,r ose —,Diane Abbott,Draft Immigration (Health Charge) (Amendment) Order 2017,
2017-03-14 00:00:00,"It is a pleasure to serve under your chairmanship, Mr Davies. I congratulate the hon. Member for Glasgow North East (Anne McLaughlin) on securing this really important debate on a subject that does not get enough public scrutiny. In 1998, the Labour Government—my Labour Government—published a White Paper with the title, “Fairer, Faster and Firmer—A Modern Approach to Immigration and Asylum”. That Labour Government had many great achievements to their credit but this White Paper, and the legislation and the actions pursuant to it, was not one of our finer moments. It was that White Paper, and the legislation that followed, that led to a flurry of new detention centres being opened, mostly under the private finance initiative—Oakington, Yarl’s Wood, Dungavel and Harmondsworth. That is how we went from fewer than 50 immigration detainees in 1988, mostly detained within the airports where they had come in, to the current figure of 3,000, with the number of people detained at one time or another during the year now exceeding 30,000. It is important to remind the House that we were told initially that we should not worry about due process, human rights and fairness because the people would be held for only a few months, but there is now very little due process around immigration. That is why we are faced with exploding numbers and a situation that is hard to defend. Stephen Shaw was asked to report on the detention of vulnerable persons, and he recommended a series of exemptions for vulnerable immigration detainees, including, as we have heard, for victims of rape and other sexual or gender-based violence such as female genital mutilation; for those with a diagnosis of post-traumatic stress disorder; for transsexual people; and for those with learning difficulties. He also called for a presumptive exclusion of pregnant women to be replaced by an absolute exclusion, and for the words, “which cannot be satisfactorily   managed in detention” to be removed from the section of the guidance covering those suffering from serious mental illness. I am interested in hearing from the Minister how far advanced we are in putting in place those exemptions recommended by Stephen Shaw, who the Government themselves asked to report on the detention of vulnerable persons. We have seen the explosion in numbers. The hon. Member for Glasgow North East asked the question more than once: given that it is so expensive and there are so many human rights issues involved, why do we not examine cheaper and more effective methods of managing immigration detention, possibly in the community? I have followed this issue for my entire career as a Member of Parliament and I am afraid that, for me, the reason the Home Office seeks to cling to the notion of immigration detention is that it is seen as a deterrent. There is always a debate in immigration policy between push factors and pull factors, and the notion, certainly at the time, was that if individuals were detained in this way—quietly, contrary to any due process and with no consideration of their human rights—that would somehow deter people from seeking to come here as immigrants and asylum seekers. Of course, that has not proved to be the case. The hon. Member for Glasgow North East also talked about cost. The annual cost for one person is £34,000 and the total annual cost of detention is approximately £120 million. It is hard to believe that we could not spend that money on dealing with whatever immigration detention challenges we face more humanely, and in a way that reflected better on us as a country. I have done a certain amount of work with Bail for Immigration Detainees and it has briefed me on some cases it has dealt with recently. Last week it won bail for a client who had spent 15 months in detention after serving a six-week prison sentence. How can that be proportionate? It also had a client held in detention in prison for almost a year, despite mental health problems and an outstanding appeal, and a male client who was the sole carer of a child with a serious health condition who was released on bail after nine months in detention. Another client spent 27 months in detention despite the fact that it would not be possible to remove them anyway and, finally, a client was released in January after spending two and a half years in detention, despite suffering from schizophrenia and, again, despite not being removable. Those cases are unacceptable, and I think that Members on both sides of the House want to hear what progress the Government are making towards living up to what the Shaw inquiry said. Stephen Shaw also stated that there is little or no correlation between the number being held and those later deported, and that other methods, such as electronic tags, should be considered. He talked about mental health, which right hon. and hon. Members have spoken movingly about, and he also mentioned the number of cases in which the Home Office has breached article 3 of the European convention on human rights in respect of detainees. I have always taken an interest in detention because of having been in Parliament when there was the explosion of detention that we now see. I am perturbed that, although I have been asking since November to visit Yarl’s Wood detention centre, we have yet to have a   reply from Ministers. I remind the Minister, in case it has slipped his mind, that the chief inspector of prisons described Yarl’s Wood as a place of national concern. It was burned down three months after it was opened and there are current accusations of abuse, poor healthcare and inappropriate sexual contact. I put it to the Minister, therefore, that if four months after I first asked to visit he is not able to respond, people might ask what he has to hide. In common with Members of all parties who have spoken in the Chamber today, I think it is time to address the long-running concerns about immigration detention—concerns that go back to the measures introduced in the ’90s by a Labour Government. I have talked about the role of the Labour Government because I do not approach the matter from a party political perspective. I have visited Campsfield, Oakington and Yarl’s Wood and, with the help of the Minister, I will visit Yarl’s Wood again. The conditions in which these people are held is a shame for this country. If people have a criminal record and should be deported at the end of their sentence, it is for the Home Office to organise itself so that they can be deported directly from prison. People should not be deprived of their liberty, with no due process, because the Home Office is chaotic in how it deals with people who have a recommendation of deportation when sentenced. In common with other speakers this afternoon, I think we need to see an end to indefinite detention. I am glad that the numbers of detained children have fallen, but there are still 71 children entering detention, and that is 71 too many. Despite the fact that this subject does not excite the attention of the tabloid press and that Ministers might think there are not many votes in making immigration detention fairer and more humane, this is a long-running cause for concern. I hope that, decades after we introduced immigration detention at this level and on this scale, the Government will move to bring about some of the changes recommended by Stephen Shaw.",Diane Abbott,Detention of Vulnerable Persons,2017-05-01 15:39:00
2017-01-31 00:00:00,"I am grateful to the right hon. Gentleman for letting me intervene. I am clear what this order is about, but the context of this debate about people paying for healthcare is the very lively tabloid debate there has been about health tourism. That was my point; I was putting the debate in context, not setting out the purpose of the order. If I did not make that clear, I apologise.",Diane Abbott,Draft Immigration (Health Charge) (Amendment) Order 2017,
