mp,debate,time,text,date
Jeremy Corbyn,Engagements,,"This is the last Prime Minister’s Question Time of this Parliament, so I think it would be appropriate if we all paid tribute to those colleagues who have decided to leave the House. I thank them for their service to democracy in this country. I also thank you, Mr Speaker, for the way in which you have presided over this House and sought to reach out to the wider communities in this country. When I became Leader of the Opposition 18 months ago—[Hon. Members: “More!”] If Conservative Members wait a moment, I will explain what I am about to say. When I became Leader of the Opposition, I said that I wanted people’s voices to be heard in Parliament, so instead of just speaking to hand-picked audiences who cannot ask questions, I hope the Prime Minister will not mind answering some questions from the public today. I start with Christopher, who wrote to me this week to say, “In the last five years, my husband has had only a 1% increase in his wages. The cost of living has   risen each year. We now have at least 15% less buying power than then.” Where is Christopher and his husband’s share in the stronger economy?",2017-04-26 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,,I congratulate my Friend on his election to the House and on his work. I agree with him: I have no confidence in this Government either.,2017-04-19 00:00:00
Jeremy Corbyn,Engagements,,"Labour is not slashing school budgets. Labour is not putting money into pet projects. We want every child—every child—to have a decent chance in a decent school. We do not want an education system that relies on begging letters from schools to maintain employment and books in the classroom. Many people feel that the system is rigged against them. Maureen wrote to me this week— [ Interruption. ]  I say to Conservative Members that if I was you, I would listen to what Maureen has to say—I really would—because she writes, with a heavy heart, “We have been treated disgustingly. Most of us women born in the 1950s will not be receiving our pension until we are 66, with no notification of this drastic change. We have worked for 45 years and have accrued more than enough to be paid our pension. People want what is rightfully theirs.” Maureen asks, “What can be done to help the WASPI women?”",2017-04-26 00:00:00
Jeremy Corbyn,Engagements,,"The last Labour Government delivered a decent homes standard for every council home in the whole country, and it is something we are proud of—we are very proud indeed of that achievement. Under the Prime Minister’s Government, house building has fallen to the lowest level since the 1920s. More people homeless, more people on waiting lists, more people overcrowded, more people unable to pay the rent—that is the record of the Tory Government. Our children are being held back by Conservative cuts. Laura, a young primary school teacher, wrote to me this week to say, “I’m seeing a decrease each year in available cash to provide a quality education to the   children in my class and an increase in reliance upon our parent teachers association.” Is the Prime Minister still denying the fact that funding for each pupil is still being cut?",2017-04-26 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,,"The timing of the election and the role of the CPS is extremely interesting, and it is interesting that the Prime Minister did not mention it in her contribution.",2017-04-19 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,,"In the interests of unity in Stoke-on-Trent, what else can I do?",2017-04-19 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,,"I was elected leader of my party by 300,000 votes. I do not know how many people voted for the Prime Minister to be leader of her party. I suspect it was none whatsoever. To the 6 million people working in jobs that pay less than the living wage, I simply say this: it does not have to be like this. Labour believes that every job should pay a wage people can live on, and that every worker should have decent rights at work. To the millions of people who cannot afford a home of their own, or who have spent years waiting for a council home, I say that this is their chance to vote for the home their family deserves. Labour Members believe that a housing policy should provide homes for all, and not investment opportunities for a few. To the millions of small businesses fed up with the red tape of quarterly reporting, hikes in business rates and broken promises on national insurance, I say   that this is their chance to vote for a Government who invest and who support wealth creators, not just the wealth extractors. The Prime Minister says that she has called the election so that the Government can negotiate Brexit. We had a referendum that established that mandate. Parliament has voted to accept that result. There is no obstacle to the Government negotiating, but instead of getting on with the job, she is painting herself as the prisoner of the Lib Dems, who have apparently threatened to grind government to a standstill. There are nine of them and they managed to vote three different ways on article 50, so it is obviously a very serious threat. The Tories want to use Brexit to turn us into a low-wage tax haven. Labour will use Brexit to invest in every part of this country to create a high-wage, high-skill economy in which everyone shares the rewards. The Prime Minister says this campaign will be about leadership, so let us have a head-to-head TV debate about the future of our country. Why has she rejected that request? Labour offers a better future. We want richer lives for all, not a country run for the rich.",2017-04-19 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,,,2017-04-19 00:00:00
Jeremy Corbyn,Engagements,,"The daily experience of many parents who have children in school is that they receive letters asking for money. One parent, Elizabeth, wrote to me to say that she has received a letter from her daughter’s school asking for a monthly donation to top up the reduced funds that it is receiving. This Government’s cuts to schools are betraying a generation of our children. If the Prime Minister is right, the parents are wrong, the teachers are wrong, the Institute for Fiscal Studies is wrong, the National Audit Office is wrong, and the Education Policy Institute is wrong. Now the Public   Accounts Committee, which includes eight Conservative Members, is also wrong. Which organisation does back the Prime Minister’s view on education spending in our schools?",2017-03-29 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,,,2017-04-19 00:00:00
Jeremy Corbyn,Engagements,,"All her Government have delivered is more debt and less funding for schools and hospitals. Schools funding is being cut for the first time in a generation. The Prime Minister is cutting £3 billion a year from school budgets by 2020. She says that the Government have created a stronger economy, so why are there tax giveaways to the richest corporations while our children’s schools are starved of the resources they need to educate our children for the future?",2017-04-19 00:00:00
