debate,time,text,date,mp
Topical Questions,,"The outsourcing of public services frequently results in lower levels of staffing, less continuity, less training and less vetting. Given that the MOD Guard Service was set up in the wake of the 1989 bombing of the Royal Marines building at Deal, when 11 marines died, and that failures by a private security firm were identified, will the Government recognise the sensitivity of the work done by the MOD guards and abandon plans to privatise the service?",2017-03-13 00:00:00,Nia Griffith
RAF Operations: Iraq and Syria,,"I thank the Secretary of State for his answer on Aleppo to my hon. Friend the Member for Barnsley Central (Dan Jarvis), and I recognise the RAF capabilities that he mentioned, but I share the concerns raised by my hon. Friends the Members for Barrow and Furness (John Woodcock) and for Cardiff South and Penarth (Stephen Doughty) that we really need to look at this again. Will the Secretary of State continue to look—and not at any stage give up looking—for a way to alleviate the terrible suffering in east Aleppo?",2016-12-12 00:00:00,Nia Griffith
Royal Navy,,"Well, I have to say that the answer from the Minister for defence procurement, the hon. Member for West Worcestershire (Harriett Baldwin), to the hon. Member for Argyll and Bute (Brendan O'Hara) on the publication of the national shipbuilding strategy is simply not good enough—not good enough for our Royal Navy, not good enough for workers in our shipbuilding industries, and not good enough for our international allies. The fact is that on   29 November the Government only published Sir John Parker’s independent review to inform the strategy, when just last year the Government promised to “publish a new national shipbuilding strategy in 2016”. With just six parliamentary days left until the end of the year, will the Minister tell us exactly when are we going to see that strategy?",2016-12-12 00:00:00,Nia Griffith
Royal Navy,,"I do not know where the Minister gets his information from; I do not know whether he reads Westminster Hall debates, and I do not know if he has been listening to what we have been saying very clearly from this Dispatch Box, but we are fully committed to a 2% spend of GDP to meet our NATO commitments and to spend it on defence, as is required. May we now turn to a more specific issue to do with the naval fleet, and in particular the Type 26 frigates, which have faced very long delays with all the attendant risks to our naval capabilities? The Defence Committee recently said that the national shipbuilding strategy “must include strict timelines for the delivery of the new Type 26 class of frigates and an indicative timeframe for the General Purpose Frigate.” Will the Minister confirm that when we see this in the spring, it really will include those details?",2016-12-12 00:00:00,Nia Griffith
Trident: Test Firing,,"I am grateful to the Secretary of State for his answers; I am just sorry that it has taken allegations in a Sunday paper and an urgent question to bring him to Parliament this afternoon. Let me be clear: we are not asking him to disclose any sensitive or inappropriate detail. All we want is clarity and transparency, because yesterday the Prime Minister refused four times on live television to say when she became aware of the details of this missile test. Today, No. 10 admitted that the Prime Minister was told about this incident as soon as she took office, yet when she came to this House on 18 July 2016 to call on Members to back the renewal of Britain’s nuclear submarines she did not say a word—not a single word. This is just not good enough. The British public deserve the facts on a matter as important as Britain’s nuclear deterrent, and they deserve to hear those facts from their Prime Minister, not in allegations sprawled across a Sunday paper. May I ask the Secretary of State a simple question? Why was this information deliberately kept from Parliament and the British public? Who made the decision to keep this incident quiet? Was it his Department, or was it No. 10? While respecting the limits of what he can disclose, can he at least set out what investigation his Department has carried out into what happened in June? What assurances can he give that there will be no future cover-ups on important matters such as this? At the heart of this issue is a worrying lack of transparency and a Prime Minister who has chosen to cover up a serious incident, rather than coming clean with the British public. This House and, more importantly, the British public deserve better.",2017-01-23 00:00:00,Nia Griffith
US-UK Defence Relations,,"This weekend, we have been shocked and appalled by the US President’s decision to impose a blanket travel ban on citizens from seven Muslim majority nations. To do this on Friday, which was Holocaust Memorial Day, only adds to the horror and outrage that we feel. Has the Secretary of State made clear to his US counterparts that there is no place for such measures in the fight against terrorism, and that   such actions only inflame tensions and risk losing valuable allies, such as Iraq, who are with us in the fight against Daesh?",2017-01-30 00:00:00,Nia Griffith
US-UK Defence Relations,,"Many of us have also been embarrassed by and ashamed of our Prime Minister, who for all her rhetoric on Britain leading the world, decided to hold Trump’s hand instead of holding him to account. Her belated and limp reply of “We do not agree” was pathetic, especially when compared with Chancellor Merkel, who spelled out that even the necessary and determined fight against terrorism does not justify placing people of a certain origin or belief under general suspicion. Can the Secretary of State assure the House that if President Trump issues defence-related Executive orders that infringe national law or are an affront to humanity, the UK Government’s response will be prompt, robust and unequivocal?",2017-01-30 00:00:00,Nia Griffith
Topical Questions,,"Army recruitment levels are now worryingly low, due in no small part to the Government’s total failure to manage the contract with Capita, allowing that parasitic company to sponge off the public purse while bringing in only 6,900 of the target of 9,500 Army recruits? Will the Minister review Capita’s contract and improve his Department’s monitoring procedures to stop leech-like companies siphoning off taxpayers’ money for little or no return?",2017-01-30 00:00:00,Nia Griffith
Armed Forces Covenant,2017-05-01 16:41:00,"I congratulate the hon. Member for Berwick-upon-Tweed (Mrs Trevelyan) on securing today’s debate and on her important work as chair of the all-party parliamentary group on the armed forces covenant. The covenant sets out a series of commitments that we, as a nation, have made to our armed forces in recognition of their service, dedication and sacrifice. We make those commitments to the entire forces community —to forces families and veterans, as well as to those who are currently serving. When we were in government, Labour did much to pave the way for the covenant, with the first military covenant being published in 2000. It was my right hon. Friend the Member for Kingston upon Hull West and Hessle (Alan Johnson) who, as Health Secretary, ensured that for the first time veterans got priority treatment on the NHS. It is encouraging to see such enthusiastic recognition of the covenant by businesses and by community and religious groups. The annual reports on the covenant are an important way of making sure that it is being honoured and applied properly, but we must never become complacent about the covenant, particularly at a time of swingeing cuts to council budgets and the health service. We must defend and extend the services available to the forces community as a result of the covenant. Moreover, we can always do more to ensure that the two vital principles that underlie the covenant—that our forces should have special consideration and suffer no disadvantage—are a reality for all in the forces community. I particularly welcome the work that the Royal British Legion will lead to establish a veterans gateway—a single point of contact for the forces community consisting of a gateway contact centre with a direct phone number and website. In my conversations with forces charities and service users, it is clear that the gateway could be a real benefit to the forces community, particularly to    veterans who may not know exactly where to turn when seeking support or advice. Indeed Cobseo, the Confederation of Service Charities, describes it as “an extremely positive development which will be of great benefit to those in need.” However, it is essential that the MOD does all it can to publicise the gateway, particularly to those who left the forces some time ago. The report describes the many positive steps that have been taken by local authorities across England to deliver the covenant, such as Blackpool Council, where the armed forces champion, Labour councillor Chris Ryan, is responsible for consulting interested parties and for putting together and delivering an action plan. The purpose of an action plan is to address shortcomings and make improvements. Will the Minister tell us what monitoring and evaluation his Department does of action plans produced by local councils and health bodies? What discussions does he have with them about setting targets for improvement? The report also lauds the impressive commitment of the devolved Governments of Scotland and Wales. The Labour Welsh Government have made particular strides to improve the support available to the forces community, including by investing £650,000 in specialist health services, to fund improvements in psychological therapies and develop a fast-track referral pathway to support injured service personnel in their return to fully deployable status. So there is much in this report that I welcome, but it is clear from the observations of the external members of the Covenant Reference Group that there is still much more work to be done to ensure that the commitments made in the covenant are fully realised for all. The forces families federations express real concern about the current and future provision of housing for service members and their families. Indeed, the federations state that they have heard more complaints in the past 12 months than ever before about poorly maintained and substandard housing units. Such complaints were about, among other things: leaking roofs; no heating for months; and broken toilets left unrepaired The federations issue a stark warning, saying that this situation represents a threat to recruitment and retention, as well as the morale of our service personnel, and is one for which they urge swift action. However, we know that there have been serious questions about the maintenance of service housing for some time. In July, the Public Accounts Committee issued a damning judgment of both the MOD and CarillionAmey, concluding that they were “letting down service families by providing them with poor accommodation, and often leaving them for too long without basic living requirements.” This issue goes right to the heart of the covenant and to the duties we owe to our armed forces. I therefore ask the Minister to spell out what action he will take over the next 12 months to ensure that this sorry situation does not continue. There is also great uncertainty and worry about the proposed changes to forces housing that are being considered by the MOD: the so-called future accommodation model. The families federations report increasing nervousness among the forces, not least because they suspect that these plans have more to do with   cost-cutting than improving provision for them. The Department must provide clear information to our armed forces about what could be very significant changes to forces accommodation, and the MOD must ensure that the views of our forces and their families are listened to and respected. If this is an opportunity to both modernise and improve housing provision, to provide flexibility, to facilitate home ownership and to recognise the realities of modern living, that is a good thing. But if, as I fear, this process is driven more by cost-cutting at the MOD, with fewer options for forces families and increasingly exposing them to exploitation by private landlords, that is something else entirely. Another uncertainty apparent from this report concerns the Government’s decision to close 91 MOD sites across the UK, a decision that will see cities such as York and Chester losing their barracks and that will affect some 22,000 military personnel and nearly 5,000 civilian staff. Of course the requirements of the defence estate will change over time, and there is a need to modernise and restructure to reflect that, but the complete lack of detail provided by the MOD to those affected by these changes is unacceptable. In many cases, we have no idea of the timeframe for a base closure and, crucially, whether civilian staff will be able to commute to other sites in their vicinity or whether they will lose their jobs altogether. I am concerned that one of the sites that has been earmarked for closure is the Defence Business Services site in Blackpool, which houses Veterans UK. All we are told in the Government’s publication is that the site will be replaced by a “Government Hub” in the north-west. If that ends up being beyond a reasonable commuting distance—for example, if it is in Manchester —we risk losing experienced staff who have an expertise in supporting our veterans community. The forces families federations have said that the many questions relating to programmes such as “A Better Defence Estate” mean that service personnel and their families are living in a period of increasing uncertainty. I therefore ask the Minister to try as hard as he can to provide our armed forces with the answers that they deserve. As well as ensuring that the commitments contained in the covenant are being delivered effectively, we must also ensure that the covenant applies across Britain and that its application is not patchy or subject to a postcode lottery. As Cobseo notes in the report: “the delivery of the Covenant is very varied across the country with a clear need to ensure...that appropriate training is given to local authority staff to ensure that the policies are properly implemented.” Research published last year by SSAFA found that just 16% of the veterans that it surveyed thought that the covenant was being implemented effectively. We also need the Government to look at monitoring and evaluation, and to develop strategies that ensure that service providers—health boards, local authorities and schools—are implementing the covenant effectively. Central to this whole issue is the question of identifying our forces community to ensure that they can access the services they need. One starting point, highlighted in the best practice guide to the covenant, is the way that some local authorities include a question on veterans on some of their forms to help them to collate data. I urge the Government to consider developing that into a standard format—for example, in the form of a question on GP registration forms. The challenge is always to find ways to monitor and evaluate the implementation of the covenant in ways that are effective, but not too burdensome or bureaucratic. We should not forget, either, that many of our public bodies are under considerable strain as they face cuts and increased demands. The “Count them in” campaign has already been mentioned; will the Government make a firm commitment to that so that we have a better understanding of the nation’s profile and the needs and locations of our serving personnel? Last year, the Government announced the new £10 million covenant fund. What evaluation has the Minister made of the use of that money and the measurable outcomes? How will that information influence the future use of the fund? The armed forces covenant and the services it guarantees are a moral obligation on us all, as a society, to ensure that our forces are supported and honoured for their service. It is also crucial to retention and recruitment. It is therefore incumbent on us all to ensure that our forces community truly get the very best, because they deserve nothing less.",2017-02-02 00:00:00,Nia Griffith
Daesh,,"On my recent visit to Cyprus, I was privileged to meet the dedicated RAF crews who work night and day to keep up the fight against Daesh in Iraq and Syria. I am concerned that there is currently no specific medal to recognise the dedication and bravery of the servicemen and women on Operation Shader. In doing their duty, these men and women are protecting UK citizens from the threat posed by Daesh as well as defending civilians in the region. Will the Secretary of State now commit to recognising their service with a specific Operation Shader medal?",2017-03-13 00:00:00,Nia Griffith
