time,debate,text,date,mp
,Syria and North Korea,The most important and useful thing we can do is to intercede with our Chinese friends to stress to them the huge influence that they have in this matter and get them to use their economic weight to get Pyongyang to see sense.,2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I well remember the right hon. Lady’s efforts in respect of Halabja, and she played a big part in hardening my heart against Saddam Hussein many years ago. She campaigned on the matter with great effect, and rightly so. What we are doing today is supporting the OPCW’s expert fact-finding mission, and I have sketched out all we know about what happened on the morning of 4 April—the best evidence that we have so far—and I hope the House will believe that the evidence is very persuasive indeed. The fact-finding mission will now draw on a variety of sources, including samples from the victims, environmental samples, munition fragments, footage of the incident and its aftermath, and interviews with survivors, people who were first on the scene, medics and eye witnesses. The mission will be able to draw on signals intelligence, flight tracking, data analysis, meteorological information and other information that will be shared by us and other countries concerned. Our experience is that such fact-finding missions are able to reach conclusions in very difficult circumstances and, going back to the point I made to the right hon. Member for Islington South and Finsbury (Emily Thornberry), we need such information to create the evidential trail to the individuals responsible. There is good evidence already, and we will use what we have, when and where possible, not only to impose sanctions but to pursue prosecutions for war crimes.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I absolutely agree with my right hon. Friend. It is crucial to understand that the Russians, as they have freely admitted in the past, do not have any deep spiritual affinity with Bashar al-Assad. They do not love him but are wedded to him for the time being. I believe that, in the long term, there can be no future for Syria with Bashar al-Assad in power, and we have to find a way forward. What we want to do now is to reach out to the Russians, to get them to understand that point and to commit to a serious political process, and we should not abandon that goal.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"The hon. Gentleman is absolutely right, and it is why we should acknowledge that the United States has changed the terms of trade in Syria. It is now up to us to make the most of this opportunity to get political change.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"As my right hon. Friend knows and as I said, we were not asked for specific support, but it is my belief—I stress that no such decision has yet been taken—that were such a request to be made in future and were it to be a reasonable request in pursuit of similar objectives, it would be very difficult for the United Kingdom to say no.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I repeat my condolences to the family of Miss Bladon. All I can say is that although we are offering consular assistance to her family, at the moment we are not changing our general advice about travel to Israel.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"We do not discuss individual citizenship cases, as I am sure my hon. Friend knows, although I understand the feelings she is expressing. What I can tell her is that Asma al-Assad, in common with her husband, is certainly on the sanctions list.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"The hon. Gentleman makes a very good point and he is right to draw attention to the cardinal role of Turkey in this whole crisis. As he knows, Turkey has borne the brunt of the huge tide of refugees, and I agree very much with what he is saying about no-fly zones, which are strongly supported by Rex Tillerson and the US. However, they cannot be delivered without a ceasefire, which is why I return to this challenge we are making to the Russians: it is up to them not just to stop the barrel bombs that the hon. Gentleman mentions, but to deliver a real ceasefire.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I fully appreciate the point my hon. Friend makes and he is perfectly right when he says that our thoughts should equally be with the 126 victims of that appalling attack, many of whom were children, as the right hon. Member for Islington South and Finsbury said. There are many, many victims in this conflict, but the overwhelming majority of the 400,000 who have died in the past five or six years—I believe this war is now in its seventh year—have been victims of the Assad regime and its supporters. For that reason, I must say to my hon. Friend that I understand his hesitations, which are of course shared by many people, who think instinctively that perhaps it would be better to stay with the devil we know, but this is a very, very odious devil indeed, and as I look ahead I just cannot see how Bashar al-Assad can remain in power in Syria in the long term. We have to go back a long way in history to find somebody who has murdered quite so many of his population and retained office.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I pay tribute to the hon. Lady’s consistent campaigning on this issue over the years. She is right to draw attention to the appalling humanitarian situation. Around 1.5 million people are still being besieged by Assad’s regime, which is using starvation as an instrument of warfare. On what we are trying to do, I go back to my earlier points: there must be a ceasefire and the Russians must make it possible for the humanitarian convoys to access the people who need help. That is what we are trying to promote, not only in Geneva but at the Astana talks. It is up to the Russians. We can build the exit for them, and I think it is an attractive exit: they have the chance to get long-term western support for the rebuilding of Syria; they would have their strategic interests in Syria—at Tartus and Latakia—protected in the long term; and they could have a political role in Syria’s future, but they have to ensure that there is a ceasefire, an end to the barrel bombs and a proper political process.",2017-04-18 00:00:00,Boris Johnson
