text,time,date,mp,debate
"There we have it: not one word of apology—no contrition whatsoever—from a Chancellor who has broken his promises to the British people and is still failing to deliver on a manifesto on which he was elected only 23 months ago. The Government are entering this election having scheduled £70 billion-worth of tax giveaways—for whom? It is for the super-rich and for the corporations, and is over the next five years. The Government are entering an election with a £2 billion unfunded black hole in the Budget the Chancellor delivered only a few weeks ago. So will he now use this opportunity before the general election to put on the record that his party will rule out raising VAT and rule out raising income tax? Will he commit unequivocally to support legislation to protect the triple lock? If the Tories can’t be straight with the British people, Labour will be.",,2017-04-18 00:00:00,John McDonnell,Topical Questions
"Oh, dear me. You just, in a week, reversed a decision—",,2017-03-15 00:00:00,John McDonnell,Class 4 National Insurance Contributions
"I know how hard my hon. Friend has fought on these issues, and I congratulate her. She has a grassroots understanding of the consequences of that lack of funding, and of the implications for her region and city. The consequences of the lack of investment are staggering, but it also undermines confidence in the private sector to match fund and invest. That is what we are seeing, even at the first stage, and yet, as my hon. Friend the Member for Cardiff South and Penarth (Stephen Doughty) said, we heard in the Chancellor’s statement not a word of assurance to anybody, whether council leaders, business investors or workers. I found that disgraceful. It is interesting that, prior to the Budget, the Chancellor and allies floated the idea that he was garnering a £60 billion fighting fund to deal with Brexit. It is not  a fighting fund; it is a failure fund. He is having to put aside cash to deal with the consequences of what he knows will be a Tory Brexit failure. That is what the failure fund is for.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"As always, my hon. Friend has pre-empted my remarks. Not only did the Government fail to address social care yesterday, but they failed to address in any way the crisis in our NHS. It was completely ignored. Ahead of the autumn statement, Labour and others were warning that the NHS was in crisis. It was in crisis before the winter, but the Chancellor could not find a single penny for the NHS in the autumn statement. The Royal College of Nursing now says that the NHS is in its worst crisis ever. Ahead of the Budget, the British Medical Association called for another £10 billion for the NHS. As my hon. Friend has just said, A&E waiting times have today got worse again—more people are waiting longer. It is astonishing that there was a complete failure on the part of the Chancellor in the Budget to recognise the scale of the crisis that our hospitals and doctors face. It is a crisis that the Government created by cuts. Instead, we have a £100 million fund to enable GPs to triage in accident and emergency. The capital spend will build rooms for GPs in hospitals with no GPs to staff them, because no revenue funding is associated with the proposal.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"This is chaos. It is shocking and humiliating that the Chancellor has been forced to come here to reverse a key Budget decision announced less than a week ago. If the Chancellor had spent less time writing stale jokes for his speech and the Prime Minister less time guffawing like a feeding seal on the Treasury Bench, we would not have been landed in this mess. Let us be clear: this was a £2 billion tax hike for many low and middle earners, and a clearcut and cynical breaking of a manifesto promise. Sickeningly, at the same time that the Chancellor was cutting taxes for the rich and corporations, large numbers of self-employed people have been put through the mangle over the past week, worried about how they would cope with this tax increase, yet today there is not a word of apology. Nobody should be too arrogant to use the word “sorry” when they blunder so disastrously. Let me thank all those who helped to force this reversal. My right hon. Friend the leader of the Labour party was the first to raise the matter in his response to the Budget. Labour MPs, many other Members across the House, the Federation of Small Businesses and several trade unions forced the Chancellor to see sense, but this blunder has consequences that he now has to address. The £2 billion that would have been raised was to go some way to tackling the social care crisis. We need to know where these desperately needed funds will come from now. We need guarantees from the Chancellor that no working people will be hit, either now or in the autumn statement, with stealth or other tax rises, and that there will be no further cuts to public services to pay for this blunder. The Prime Minister and the Cabinet would have been briefed on the contents of the Budget in advance. Did the Prime Minister or any Cabinet Member raise their concerns with the Chancellor before he announced the measure? The Chancellor has announced a review. We need him to set a clear deadline for that review, and to give a commitment that its findings will be reported and debated on the Floor of this Chamber. We need him to address the real issues facing the self-employed: the scourge of bogus self-employment; the exploitation that goes on under that guise; the pressure from large corporations to reduce costs relating to the self-employed unrealistically; the problem of late payments; the lack of access to maternity pay; no paternity pay; no adoption pay; no sick pay; no compassionate leave; and no carer’s leave. That is the real agenda that should have been addressed last week, not tax hikes. We welcome this reversal, but we now need an honest and forthright commitment that the self-employed agenda will be addressed. These people are the engine of our economy. They deserve to be respected, not attacked in the way they were seven days ago.",2017-05-01 14:08:00,2017-03-15 00:00:00,John McDonnell,Class 4 National Insurance Contributions
"It is not just that provision should be made, but that the cuts have established that situation. Whatever system is introduced, that organisation will not be fit for purpose because of a lack of investment over the recent period, which my right hon. Friend has consistently pointed out. We understand the vote in the referendum. People voted to leave, but we repeat time and again that they did not vote to trash their jobs, their livelihoods or the economy. A responsible Government would ensure that jobs and the economy were protected. A responsible Budget ahead of article 50 would have shown how the Government would protect both. The Chancellor had a responsibility and failed to deliver on it. The Chancellor has dared to talk elsewhere about the difficult decisions he had to make. It is not he who is making the difficult decisions; it is the NHS manager in a hospital deciding whether someone will have a bed or a trolley; a police commissioner deciding which streets will be patrolled; or a council leader deciding which children’s centre will be closed. They are the ones with difficult decisions, not the Chancellor. He is passing the buck to others for his cuts. I think that the Chancellor lives in a world in which he is completely insulated from the consequences of his decisions. He can sit in No. 11 and delete lines from his spreadsheet without a thought for the consequences. For him, it is all in a day’s work, and it is the rest of our society who must deal with the results. We have had seven long years of austerity from this Conservative Government, and the spending cuts have dragged our economy and society to the brink. The suffering has been immense, and it is not the Chancellor or his colleagues who have been on the receiving end. It is their victims: those parents who cannot get a school place at the moment, those young people who cannot get a decent home because of a housing shortage, those families who cannot get care for their parents. We have seen public services shredded and basic standards in public life torn up, and for what? So that this Government can add three quarters of a trillion pounds to the national debt. After seven years of austerity, and two years after it was supposed to have ended, what can we look forward to? Continual cuts in public services for the rest of the decade. This was a Budget of complacency. We need a Government who will introduce a fair taxation system, who will use public resources for long-term, patient investment in our economy, who will tackle tax evasion and avoidance at the same time, and who will grow our economy but, as we build a prosperous economy, will ensure that that prosperity is shared by all rather than being given away in tax cuts for the rich and the corporations. Yesterday’s Budget was not just complacent; it was arrogant, and it was cruel.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"I congratulate my right hon. Friend on his campaign, which he has stuck with for a number of years. I remember him saying that some years ago under a previous Secretary of State. Assurances were given about investment in preventive medicine and so on, but then what happened? We had an unnecessary £3 billion reorganisation imposed from the top and the money was lost. I regret that my right hon. Friend has had to continue his campaign. We need investment in preventive health, but we also need emergency funding now for the NHS. This shows the difference in values. Labour says we need investment in the NHS, but the Government believe we need tax giveaways of £70 billion over the next five years to those who need it least. People are suffering in the NHS and they need social care. People are dying because of the Government’s decisions. They have failed to address them, but have also prioritised tax cuts for big corporations and the wealthiest few rather than investment in our NHS. On education and skills, the Chancellor claimed in his speech that the Budget was for the young and for skills. He waxed lyrical about the need to provide decent   chances in life for all. We share those sentiments—extra funding for training is welcome—but the £500 million of additional skills funding is nowhere near enough to undo the damage of seven years under this Government. Adult skills funding has fallen by 54% since 2010, which is a cut of £1.36 billion. That £500 million does not even come close to reversing the damage already done. The Chancellor is providing £1 billion for the vanity project of free schools. That is more money for the ludicrous throwback of grammar schools. Thousands of Whitehall hours have been wasted on schemes for a tiny handful of privileged children, leaving the rest to fail. It is the same old Tories, isn’t it? There are real-terms funding cuts for the state schools that 95% of our children use. They are the first cuts since the last Conservative Government. Fifties throwbacks and fantasies are not how we should run a modern education system. Finally, the Chancellor never spoke the word “Brexit” in his speech yesterday. Shocking. The Chancellor was silent on the greatest challenge facing this country. The word “Brexit” never passed his lips once during his speech. As Britain prepares to begin the process of leaving the European Union, the Chancellor had nothing to say on the matter. It should be clear why. I do not think he agrees with the position of his Government. The Prime Minister claims that no deal is better than a bad deal, which is absurd—no deal would be the worst possible deal. The Chancellor knows that very well. He knows it is a risk, because the warnings come not just from Labour but from manufacturers, business leaders, employers organisations, trade unions and a wide range of civil society organisations. They come from economists and international organisations as well. The Chancellor is being told from every part of our economy that to crash out of the European Union without a trade deal will be disastrous. We will be cut off from investment and our biggest trading partner. We will be cut off from the skills of EU nationals, who have made so much of a contribution to our economy and society. It is a disgrace that those EU nationals live with insecurity still because the Government will not give them the assurances they need, but that is where the Conservative party is setting its course.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
Seven years.,,2017-04-18 00:00:00,John McDonnell,Economic Growth Outside London/South-East
"In a past life, as chief executive of the Association of London Government, I was responsible for managing European funds for London, including the European regional development fund, the European social fund and a range of other funds. I know what contribution those funds make. I also know how much investment they prise in from elsewhere, what match funding is required and how to build transnational partners into the creative development of ideas. All that will be lost to us because the Government will not give the assurances we need.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
Seven years.,,2017-04-18 00:00:00,John McDonnell,Economic Growth Outside London/South-East
