date,text,mp,time,debate
2017-03-06 00:00:00,"Yes, my hon. Friend is exactly right. There will be a moment to have a full debate on that, and that will be in this House when those rights are changed.",Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,It is because we care about employers and the jobs that they provide that we will be consulting during the summer on the right form of immigration process to put in place as we leave the European Union.   There is no question but that this Government are going to continue to listen carefully to the employers who have provided so many jobs to people in the UK and quite a few in the European Union as well.,Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,"I am not entirely clear what the situation is, but I will meet the hon. Lady, or she can meet the Immigration Minister, to discuss it.",Amber Rudd,,Topical Questions
2017-03-06 00:00:00,"I will certainly look at the situation that the hon. Lady raises and, if necessary, talk to the NSPCC. I will invite her to participate in those discussions as well.",Amber Rudd,,Topical Questions
2017-03-06 00:00:00,"My hon. Friend is absolutely right. The use of data is critical in our fight against cross-border crime and terrorism, and will always remain a priority for us. We value the co-operation that we have at present through the European Criminal Records Information System and the Schengen Information System. We want our future relationship with the EU to include practical arrangements so that we can engage with it on that basis, and I can reassure my hon. Friend that that is also what our EU partners want.",Amber Rudd,,Leaving the EU: Policing
2017-03-06 00:00:00,"I reassure my hon. Friend that we remain committed to those numbers, ensuring that we protect and move people over from the region. We have, in fact, brought over 4,369 in the past 12 months. The last Labour Government capped their figure at 750 per year, and we are pleased to be doing five times that every year.",Amber Rudd,,Topical Questions
2017-03-06 00:00:00,"On Wednesday, we celebrate International Women’s Day when we recognise the achievements of women internationally and acknowledge the real challenges still faced by so many. One of my priorities as Home Secretary is to ensure that all women are protected from violence. Since 2010, we have done more than ever before to tackle gender-based violence. Last year, we launched the ending violence against women and girls strategy and pledged increased funding of £80 million in support. We have strengthened the laws and provided agencies with tools to support victims and bring perpetrators to justice. We know that there is more that we can do to bring those crimes out of the shadows, which is why the Justice Secretary and I will be leading a comprehensive programme of work to combat domestic abuse, including considering a new domestic violence Bill. The Government will continue to take steps to achieve our ambition that no woman should live in fear of abuse, and that every girl should grow up feeling safe and protected.",Amber Rudd,,Topical Questions
2017-03-06 00:00:00,I thank the hon. Gentleman for giving me the opportunity to remind everybody that while we are members of the EU that situation is unchanged—that position can be guaranteed.,Amber Rudd,,Topical Questions
2017-03-06 00:00:00,"Yes, I agree with my hon. Friend. I pay tribute to the incredible work he has done in helping us to put the system in place. We use third parties such as the Salvation Army, which does a fantastic job looking after people who have been trafficked. He is right that 45 days is a minimum. Quite often, we look after people for much longer, but we will always keep that under review because we want to help these vulnerable people.",Amber Rudd,,Topical Questions
2017-03-06 00:00:00,"The Prime Minister has made it clear that one of her 12 negotiating priorities is to secure the status of EU nationals already living in the UK as soon as possible, once formal negotiations have begun. She has also made it clear that she seeks a deal based on reciprocity, which also secures the status of UK nationals living elsewhere in the EU.",Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,"I will of course read the report with the respect and interest that it deserves. Nevertheless, I feel that reciprocity is an important part of securing the position not only of the EU nationals, who add such value to our economy and are so welcome here, but the UK citizens who live their lives abroad in the EU.",Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,"I certainly agree with the principle that the European arrest warrant is an effective tool that is essential to the delivery of effective judgment on the murderers, rapists and paedophiles on whom we have managed to seek judgment. It is a priority for us to ensure that we remain part of the arrangement, and I can reassure Members in all parts of the House that our European partners want to achieve that as well.",Amber Rudd,,Leaving the EU: Policing
2017-03-06 00:00:00,"I thank the hon. Lady for her question. The fact is that it is sometimes uncertain when we are able to bring the children over to the UK. When we had the situation with Calais, we were told x number by the French one day, and it moved very quickly the next. We will always do our best to give councils as much notice as possible, but sometimes the numbers change at very short notice.",Amber Rudd,,Topical Questions
2017-03-06 00:00:00,"My hon. Friend makes a very fair observation about the reality of the situation. I point out, however, that as he seeks the assurance and certainty that the EU citizens who are here want, I seek it, too, for the UK citizens who are in other parts of the EU. It is a priority; the Prime Minister has said that she will move on to that as soon as negotiations begin.",Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,"I urge the hon. Gentleman to reassure his constituents, if that is what they are, about how valued they are for the contribution they make to the UK economy. I also point out that the recent immigration statistics show that we remain just as popular a destination as ever for EU nationals.",Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,My hon. Friend makes the very good point that EU citizens here have existing rights and that we need to ensure that equivalent rights are extended to UK citizens in the EU.,Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,"Which is why I would refer to this as a reciprocal arrangement, which we hope to complete in parallel with the EU.",Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,"There are more than 1 million UK citizens living in the European Union, and they are not all represented by the groups that gave evidence to the Brexit Committee. I care about every one of those UK citizens, and I repeat that it is incumbent on the Government to ensure that we protect their position as much as we protect that of EU citizens.",Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,"The Scottish Government already play a full role in the negotiations and planning for the EU exit, and I am sure that that will continue over the next few months.",Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,I understand the concerns that the right hon. Lady has raised. We have all experienced this as MPs in our surgeries. My point to the hon. Member for Argyll and Bute (Brendan O’Hara) was that as MPs we can give that reassurance that EU citizens are valued here and that it is the Prime Minister’s intention to do that. We will make it a priority as we begin the EU negotiations.,Amber Rudd,,Leaving the EU: Residency Rights
2017-03-06 00:00:00,"I recognise that this is sometimes a difficult issue. We have been reviewing the support we provide to our firearms officers so that they can carry out their crucial duties without fear, while ensuring there is necessary scrutiny. My hon. Friend has specific concerns about automatic suspension and firing first. I can confirm that only in exceptional circumstances would someone be automatically suspended for using their gun. There is no rule prohibiting officers from shooting first. Their decision is and must be based on an assessment of threat to life, including their own. I would be delighted if he would like to meet me or the Minister to discuss this matter further.",Amber Rudd,,Terrorism: Armed Police Protection
2017-03-06 00:00:00,"We are providing £144 million over five years, of which £32 million will be provided between 2017-18 to enhance our armed policing capability and capacity to be able to respond more quickly and effectively to a firearms attack. This means that the number of armed police will increase by more than 1,000. Additional round-the-clock specialist teams will be created outside London and 41 additional police armed response vehicles will be on the streets.",Amber Rudd,,Terrorism: Armed Police Protection
2017-03-06 00:00:00,"I happily join the right hon. Gentleman in commending the announcement made by Mark Rowley and the work done in general by our counter-terrorism police officers in London and beyond. He is absolutely right that it is essential we do not think we can solve this issue simply by putting more money into it. We need to work closely with local communities, so that everybody plays a part in countering this vile crime.",Amber Rudd,,Terrorism: Armed Police Protection
2017-02-09 00:00:00,"I would urge the hon. Gentleman to correct any misunderstandings that anybody has. The fact is that we have stuck to the agreement in the Dubs amendment. We were obliged to put out a number, having consulted local authorities. Perhaps he would consider putting out a message to his constituents so that they are clear that the Government are stepping up their commitments, are taking 20,000 by 2020, and are looking after these children. We are proud of our response.",Amber Rudd,,Unaccompanied Child Refugees
2017-03-06 00:00:00,"As the Prime Minister made clear in her Lancaster House speech in January, our commitment to co-operation with European partners on security and law enforcement will be undiminished by our leaving the European Union. The Home Office is working with operational law enforcement partners to examine all the different ways of delivering that result, and to find a practical, co-operative way of supplying certainty as we leave the EU.",Amber Rudd,,Leaving the EU: Policing
2017-03-06 00:00:00,"I can reassure the hon. Gentleman that there has been a 30% increase in the budget for counter-terrorism and we expect that to continue. When it comes to ordinary policemen, I am sure that the hon. Gentleman will, like me, welcome the fact that crime has fallen by 25% since 2010. The key element is that our police forces have the tools to deliver that reduction in crime, and I believe that under this Government they do.",Amber Rudd,,Terrorism: Armed Police Protection
2017-02-09 00:00:00,"But the hon. Lady should be clear that the Government are meeting their commitments, and exceeding them, through the aid that we give to region of £2.3 billion, through our commitment to making sure that we bring over from the region the most vulnerable children—20,000 by 2020—and, most of all, through making sure that the children who arrive here, who are often from vulnerable areas, are looked after and given support. We ensure that local authorities have this ability. We should be proud of our response.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"We are very grateful for the work that Hammersmith has done. I would urge it to also consider taking children who are just as vulnerable from the national transfer scheme. It is not just the children from Calais who need help, but those from the national transfer scheme. I urge the hon. Gentleman to have that conversation with his council as well.",Amber Rudd,,Unaccompanied Child Refugees
2017-03-06 00:00:00,"I can reassure my hon. Friend that the local transport police and local police forces will always work closely together. We are very mindful of where the likely places might be for any attack. He is right that that will often involve large transport hub areas, so we are careful to give specific advice to those areas where necessary.",Amber Rudd,,Terrorism: Armed Police Protection
2017-03-06 00:00:00,"My hon. Friend is absolutely right. I will join him in commending the work of the east midlands service. We are mindful of the fact that, although London can be the central target, other cities   could also be a target. We are mindful that our counter-terrorism efforts go way beyond London to other cities, but they are always intelligence-led.",Amber Rudd,,Terrorism: Armed Police Protection
2017-02-09 00:00:00,"There is no hiding here. Another 150 children will be transferred over the next period under the Dubs agreement. We are working closely with local authorities to ensure that they have the support for the children they have said they will take. I would add that approximately 3,000 unaccompanied children a year already arrive. In addition to the Dubs commitment, local authorities work with us through the national transfer scheme to ensure that those children are looked after.",Amber Rudd,,Unaccompanied Child Refugees
2017-03-06 00:00:00,"The hon. Lady raises counter-radicalism, which is a very important element of our counter-terrorism and counter-extremism strategy. I can reassure her that a lot of additional work is going on in prisons to ensure that counter-radicalism takes place. My right hon. Friend the Justice Secretary has taken additional steps to work with people who are being radicalised or are the sources of radicalisation. I hope that that will yield positive results.",Amber Rudd,,Terrorism: Armed Police Protection
2017-02-09 00:00:00,"I would in no way identify what the Government and local authorities are doing as the bare minimum. We are taking 3,000 children from the region by 2020. We are taking 20,000 vulnerable citizens by 2020. We are making sure that we give them the financial support that they need. I do not recognise the hon. Gentleman’s characterisation.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I cannot say how many children will or will not be eligible until those assessments have been made, but I can say that, having accepted 200 children under the Dubs amendment, there will be another 150. In addition to that, we will continue to assess the children to see whether they are eligible for the Dublin arrangements.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"At the time of the clearance of the Calais camp, in particular, we were determined to prioritise the most vulnerable. That was why we immediately moved to remove a lot of girls and young women whom we believed—the evidence showed this—were most vulnerable to being trafficked. We will always ensure that we prioritise those young people who are more likely to be vulnerable. I do not have the information on the numbers of disabled people who have been transferred, but I will endeavour to get it and get back to the  hon. Lady.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"We work closely with the organisations that run some of these camps. I absolutely recognise that they are of differing standards. However, the UK is stepping up with a financial commitment of £2.3 billion to make sure that we help to make those camps places where families can exist and children can be taught. I want the hon. Gentleman to be in no doubt that we lean in to make sure that we assist in the vast movement of people that is taking place in the region.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"There is still plenty of need for support from community organisations such as churches. I, too, have met several that are doing their bit to welcome families and look after children. I urge the hon. Gentleman to get in touch through the national transfer scheme,    or via my office, and we will work closely to make sure that any communities groups that think they can support families or children are able to do so.",Amber Rudd,,Unaccompanied Child Refugees
