debate,time,date,text,mp
Persecution and Detention of LGBT Citizens: Chechnya,,2017-04-20 00:00:00,"May I add my thanks to you, Mr Speaker, for granting this urgent question today? I thank my hon. Friend the Member for Cardiff South and Penarth (Stephen Doughty) for bringing such an important matter to the House and speaking so eloquently. I also thank the Minister for his response and pay tribute to his long and proud record of standing up for LGBT rights: he is a brave and much-needed pioneer in that regard within his party. I well recall an article by Peter Hitchens in the  Daily Mail  in 2002—I am sure that the Minister does as well—entitled, “I’m sorry, Mr Duncan, if you’re gay, you’re not a Tory”. Thank goodness that in this country that kind of reprehensible prejudice has been consigned to the dustbin of history. However, there is no room for complacency. This appalling and disgusting prejudice still represents official policy in some parts of Europe, and we must do something about it. In recent days and weeks, we have heard reports from Russian LGBT organisations and human rights NGOs documenting the most terrible abuse, and we have all read them with great distress. This is nothing short of officially sanctioned policy from the Chechen authorities, but the Russian Government, who bear ultimate responsibility for their citizens’ safety, appear to be looking the other way, and that is scarcely any better. A week ago, LGBT Labour wrote a letter to the Prime Minister in which it asked particularly that she “meet with the Russian Ambassador as a matter of urgency to demand answers; and to ensure that the Foreign Office is doing all it can with the Russian Government, and our European and international partners, to free those who have been detained and to shut the camps down.” We are speaking today with a strong and unified voice. However, while I applaud, of course, the right hon. Gentleman’s raising the matter as deputy Foreign Secretary, it needs to be escalated. I hope that as a result of this urgent question we get an undertaking from the Government that it will be raised at a much higher political level. This is a matter that Prime Minister should take an initiative on—she should call in the Russian ambassador and demand some answers.",Emily Thornberry
Points of Order,2017-05-01 16:56:00,2017-04-18 00:00:00,"On a point of order, Mr Speaker. Is it in order for the Secretary of State, while refusing to answer the challenge of a televised debate, to use the opportunity of a statement to make the most extraordinary claims? Perhaps the biggest was that he was unaware of Labour’s position on this matter. We have made it abundantly clear that the way we should have proceeded was for UN inspectors to establish beyond doubt who was responsible and challenge the international community, including the Russians, to take multilateral action against the perpetrator, who is presumably Mr Assad.",Emily Thornberry
Anglo-American Relations,,2017-03-28 00:00:00,"It is unfair to call the Secretary of State a gnat against a rhino, and I would obviously never suggest such a thing. If the Secretary of State claims to have influence, he needs to start showing us some evidence of it. He needs to learn that the only way he will get listened to by Trump is if he is prepared to stand up and challenge him. I ask him to begin today by condemning the Executive order and telling the Trump Administration that we will not stand by in silence while they wreck the Paris climate change agreement.",Emily Thornberry
Yemen,2017-05-01 17:43:00,2017-03-28 00:00:00,"I thank the sponsors of this debate, particularly my right hon. Friend the Member for Leicester East (Keith Vaz) and the hon. Member for Portsmouth South (Mrs Drummond), both of whom were born in Yemen and bring a depth of knowledge and passion to such debates, for which we are grateful. In previous debates, we have tended to see Yemen through the prism of British involvement in the conflict in the form of arms sales and other military support to the Saudi-led coalition. I do not intend to dwell on   those issues today, although I am sure that they will be raised again, not least because we await the High Court’s judgment in the next few weeks on the legality of the Government’s sale of arms to Saudi. When we look at Yemen today what we see, first and foremost, is a humanitarian catastrophe—the world’s worst, according to the United Nations. We should not forget that, even before the start of this war, Yemen was the poorest country in the Arab world, a destitute nation surrounded by wealthy neighbours and with a desolate landscape that meant it relied on imports for 90% of its food. Now Yemen is engulfed by famine in all but name, and no wonder. It is not just that 90% of the country’s food is imported but that most of those imports need to go through the port of Hudaydah, the Red sea port that has been razed by airstrikes—the airstrikes have completely destroyed the port’s cranes, making it impossible to unload cargo. Even if supplies could get as far as the port and then through the roadblocks, the paperwork and the searches—some, indeed, call it a blockade—mean it is unlikely that the supplies would be able to get any further because the Saudi airstrikes have also systematically destroyed the roads and bridges that make it possible to get supplies from one place to another. The other 10%—the small amount of food that the Yemeni people produce themselves—has for the most part gone, too, as bombs have struck factories, food markets, poultry farms and even fishing boats. Jamie McGoldrick, the UN’s humanitarian co-ordinator, has said: “The economic dimension of this war has become a tactic…It is an all-encompassing, applied economic suppression and strangulation that is causing everyone here to feel it”. However, the UN special envoy for Yemen told the Security Council in January that a viable proposal for peace was on the table and within reach. What happened to that proposal? Where has it gone? Was it connected to the ceasefire resolution that we were told the UK would introduce six months ago? Can the Minister tell us what has happened to the resolution? The last time we debated this matter, the Minister told us that the British Government were in the process of redrafting the resolution to make it up to date. How is that going? Do we have an up-to-date resolution? When the Security Council meets tomorrow, under British chairmanship, to discuss the humanitarian crisis in Yemen—I understand the Russians pressed for the discussion—we will be the pen holder, we will be chairing the meeting and we should be putting forward a peace resolution. Are we going to? I fear not. I have been told that the UK is, in fact, increasingly stepping back on the diplomatic front for fear of upsetting the Saudis on the one hand, and the Americans on the other. I am told by my sources on the 38th floor that the new Administration in America are now considering stepping up their support for the coalition military campaign. If that is right, will the Minister confirm that the Saudis have been given the rest of the year to stabilise Yemen—that is the wording—and to reassert the Yemeni Government’s authority over the entire country? Surely that cannot be the case, because we all know that a military approach alone will not work. May I also ask about the role of Stephen O’Brien? He is a former Member of this House whom many Members will know. He is now the United Nations Under-Secretary-General for Humanitarian Affairs and is obviously important in this regard. He has said that we are facing the worst humanitarian crisis since 1945 and that the crisis is in Yemen. I would appreciate it if the Minister could confirm that Mr O’Brien is not leaving his post and that rumours he is leaving, not out of choice but because of Saudi objections, are wrong. Is this forgotten war becoming the new Syria? It is a multi-layered civil war being fought by major powerful nations, either directly or through proxies, in which the victims are civilians who suffer unbearable and insufferable torment. People are also being starved. I urge the Minister to ensure that Britain, once again, takes up a proactive role on Yemen because we are a permanent member of the Security Council, because we are currently the president of the Security Council, because we are the pen holder and because we have a close relationship with Saudi Arabia, one of the major parties. What the people of Yemen need more than anything else at the moment is peace. We have some power in the conflict, and we can do something about it tomorrow.",Emily Thornberry
Yemen,,2017-03-28 00:00:00,rose —,Emily Thornberry
Syria and North Korea,2017-05-01 16:13:00,2017-04-18 00:00:00,"I thank the Foreign Secretary for advance sight of his statement and join him in sending my condolences to the families of Chris Bevington and Hannah Bladon. Obviously, the Foreign Secretary’s statement is somewhat overshadowed by another announcement today, but the issues at hand here are far more important for the future of our world than the Prime Minister’s cynical short-term manoeuvres. She talked about the need for leadership and stability, yet is happy to plunge the country into six weeks of uncertainty exactly at the time Britain needs to provide stable global leadership on issues such as Syria and North Korea. However, we should not be surprised, because on those and other global crises the Conservative party is abdicating any effective leadership role for Britain. I turn to Syria. We were all appalled by the dreadful attacks on civilians witnessed during the Easter recess. Two weeks ago, there was the horrifying chemical attack on Khan Sheikhoun, killing dozens of ordinary villagers and injuring many hundreds more. Just two days ago—I was rather surprised that the Foreign Secretary did not see fit to mention this—there was the suicide bombing of so-called pro-regime evacuees in Rashidin, with dozens   of children among those who were killed. They were lured to their deaths by the promise of free crisps—a tragic reminder that in this conflict Bashar al-Assad does not hold a monopoly when it comes to horrific atrocities against innocent civilians, including children. We need a peaceful settlement in Syria now more than ever. Indeed, last week the Foreign Secretary said that his priority was to “build co-ordinated international support for a ceasefire…and an intensified political process”, and I agree with him. So why, rather than working for co-ordinated international action properly to investigate, punish and prevent the use of chemical weapons, is the Foreign Secretary instead threatening more unilateral airstrikes by the US against the Assad regime? Why, rather than engaging in that peace process, did he instead cancel his proposed talks in Moscow, and in the process so comprehensively alienate the Putin Government that they have refused to talk to Britain in future? And why, rather than ensuring that the G7 spoke with one strong voice on Syria last week, did he instead present it with a half-baked, quickly rebuffed proposal for sanctions, without doing any preparatory work to win the support that was needed? The Foreign Secretary ended last week disowned by Downing Street, ignored by Russia, and humiliated by the G7. The only straw he can cling on to, we presume, is this: that the United States State Department is still telling him what to say and do, and which countries he is allowed to visit. To that end, may I ask a final question on Syria? Based on his close relationship with the Trump Administration, can he clarify exactly what their strategy now is? Turning briefly to North Korea, the Foreign Secretary rightly condemns the ongoing nuclear missile programmes being pursued by Kim Jong-un’s regime. I hope he will agree that, like Syria, this a crisis that can be resolved only through co-ordinated international action, through the de-escalation of tensions and, ultimately, through negotiations. So can he assure us that Britain will argue against any unilateral military action taken by the United States, and instead urgently back China’s call for a resumption of the six-party talks? When it comes to North Korea, the world needs statesmanship, not brinkmanship. We cannot afford blind loyalty to the Trump Administration if they are leading us down the path to war. Peace in Syria and North Korea and our relationship with the Trump Administration are vital issues for the future of Britain and the world, and, as much as the Prime Minister would like the coming election simply to be about Brexit, we must ensure that these and other international concerns are not forgotten. To that end, my final question for the Foreign Secretary is this: will he commit to join me in a televised debate between all the parties on foreign policy—no ifs, no buts? I am ready to say yes now, so will he commit today to do likewise: announce the first election debate and put his party’s promise of stable leadership on the line?",Emily Thornberry
Syria and North Korea,,2017-04-18 00:00:00,What?,Emily Thornberry
Anglo-American Relations,,2017-03-28 00:00:00,"I thank the Secretary of State for that answer, but I am not sure that he really understands that by lifting curbs on power plant emissions, today’s Executive order will make it practically impossible for the US to hit the targets that were agreed in Paris. The right hon. Gentleman says that he received some encouragement, but to be honest, one wonders whether he raised the issue in Washington and was just ignored, or did not raise the issue at all. One thing is certainly clear—",Emily Thornberry
Syria and North Korea,,2017-04-18 00:00:00,rose—,Emily Thornberry
Anglo-American Relations,,2017-03-28 00:00:00,"I am very glad to hear that the Secretary of State raised the issue, but it is such a shame that we have so little influence on the United States that today an Executive order is being signed—",Emily Thornberry
